
2024/12/20 (21:21:04) | ===> btop++ v.1.3.2
2024/12/20 (21:21:04) | ERROR: Stall in Runner thread, restarting!
2024/12/20 (21:21:05) | WARNING: Error in Mem::collect() : std::future_error: No associated state

2024/12/23 (16:33:56) | ===> btop++ v.1.4.0
2024/12/23 (16:33:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (16:37:41) | ===> btop++ v.1.4.0
2024/12/23 (16:37:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (17:24:38) | ===> btop++ v.1.4.0
2024/12/23 (17:24:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (17:36:33) | ===> btop++ v.1.4.0
2024/12/23 (17:36:33) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/23 (17:38:37) | INFO: Logger set to INFO
2024/12/23 (17:38:37) | INFO: Logger set to DEBUG
2024/12/23 (17:38:38) | INFO: Logger set to INFO

2024/12/23 (17:52:24) | ===> btop++ v.1.4.0
2024/12/23 (17:52:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (17:59:43) | ===> btop++ v.1.4.0
2024/12/23 (17:59:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (19:10:44) | ===> btop++ v.1.4.0
2024/12/23 (19:10:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (20:23:48) | ===> btop++ v.1.4.0
2024/12/23 (20:23:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (07:58:28) | ===> btop++ v.1.4.0
2024/12/24 (07:58:28) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/24 (09:46:10) | ===> btop++ v.1.4.0
2024/12/24 (09:46:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (09:52:38) | ===> btop++ v.1.4.0
2024/12/24 (09:52:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (10:09:25) | ===> btop++ v.1.4.0
2024/12/24 (10:09:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (15:47:44) | ===> btop++ v.1.4.0
2024/12/24 (15:47:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (15:48:47) | ===> btop++ v.1.4.0
2024/12/24 (15:48:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (20:44:44) | ===> btop++ v.1.4.0
2024/12/25 (20:44:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (17:45:11) | ===> btop++ v.1.4.0
2024/12/28 (17:45:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:21:50) | ===> btop++ v.1.4.0
2024/12/29 (14:21:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:23:14) | ===> btop++ v.1.4.0
2024/12/29 (14:23:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:30:58) | ===> btop++ v.1.4.0
2024/12/29 (14:30:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:31:56) | ===> btop++ v.1.4.0
2024/12/29 (14:31:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:32:13) | ===> btop++ v.1.4.0
2024/12/29 (14:32:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:33:22) | ===> btop++ v.1.4.0
2024/12/29 (14:33:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:34:47) | ===> btop++ v.1.4.0
2024/12/29 (14:34:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:35:13) | ===> btop++ v.1.4.0
2024/12/29 (14:35:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:36:08) | ===> btop++ v.1.4.0
2024/12/29 (14:36:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:37:22) | ===> btop++ v.1.4.0
2024/12/29 (14:37:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:37:54) | ===> btop++ v.1.4.0
2024/12/29 (14:37:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:38:39) | ===> btop++ v.1.4.0
2024/12/29 (14:38:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:39:00) | ===> btop++ v.1.4.0
2024/12/29 (14:39:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (23:27:13) | ===> btop++ v.1.4.0
2024/12/30 (23:27:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (11:09:11) | ===> btop++ v.1.4.0
2024/12/31 (11:09:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (11:38:01) | ===> btop++ v.1.4.0
2024/12/31 (11:38:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (15:28:46) | ===> btop++ v.1.4.0
2024/12/31 (15:28:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (19:24:20) | ===> btop++ v.1.4.0
2024/12/31 (19:24:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (20:09:45) | ===> btop++ v.1.4.0
2025/01/01 (20:09:45) | WARNING: Intel GPU: Failed to initialize PMU
